filepath,xmin,xmax,ymin,ymax
./Dados/annotations\Cars0.xml,226,419,125,173
./Dados/annotations\Cars1.xml,134,262,128,160
./Dados/annotations\Cars10.xml,140,303,5,148
./Dados/annotations\Cars100.xml,175,214,114,131
./Dados/annotations\Cars101.xml,167,240,202,220
./Dados/annotations\Cars102.xml,66,322,147,199
./Dados/annotations\Cars103.xml,230,248,129,134
./Dados/annotations\Cars104.xml,195,244,266,282
./Dados/annotations\Cars105.xml,152,206,147,159
./Dados/annotations\Cars106.xml,138,177,79,92
./Dados/annotations\Cars107.xml,141,311,113,164
./Dados/annotations\Cars108.xml,158,277,216,248
./Dados/annotations\Cars109.xml,115,278,116,153
./Dados/annotations\Cars11.xml,131,273,206,234
./Dados/annotations\Cars110.xml,286,328,133,159
./Dados/annotations\Cars111.xml,319,478,165,204
./Dados/annotations\Cars112.xml,49,164,135,191
./Dados/annotations\Cars113.xml,151,306,113,180
./Dados/annotations\Cars114.xml,7,493,16,256
./Dados/annotations\Cars115.xml,315,407,287,311
./Dados/annotations\Cars116.xml,149,267,218,247
./Dados/annotations\Cars117.xml,42,86,126,137
./Dados/annotations\Cars118.xml,193,394,165,217
./Dados/annotations\Cars119.xml,187,217,140,153
./Dados/annotations\Cars12.xml,122,277,82,117
./Dados/annotations\Cars120.xml,159,250,178,200
./Dados/annotations\Cars121.xml,336,357,192,204
./Dados/annotations\Cars122.xml,195,254,147,169
./Dados/annotations\Cars123.xml,159,237,221,242
./Dados/annotations\Cars124.xml,305,320,256,267
./Dados/annotations\Cars125.xml,280,355,196,257
./Dados/annotations\Cars126.xml,103,293,99,201
./Dados/annotations\Cars127.xml,360,383,166,181
./Dados/annotations\Cars128.xml,112,306,65,173
./Dados/annotations\Cars129.xml,204,282,213,267
./Dados/annotations\Cars13.xml,191,242,147,169
./Dados/annotations\Cars130.xml,91,166,110,140
./Dados/annotations\Cars131.xml,19,497,29,245
./Dados/annotations\Cars132.xml,23,56,190,198
./Dados/annotations\Cars133.xml,247,375,185,223
./Dados/annotations\Cars134.xml,76,133,151,174
./Dados/annotations\Cars135.xml,260,319,184,211
./Dados/annotations\Cars136.xml,164,245,104,119
./Dados/annotations\Cars137.xml,178,204,181,191
./Dados/annotations\Cars138.xml,153,254,141,185
./Dados/annotations\Cars139.xml,315,337,189,197
./Dados/annotations\Cars14.xml,94,274,118,163
./Dados/annotations\Cars140.xml,283,424,239,286
./Dados/annotations\Cars141.xml,266,307,169,188
./Dados/annotations\Cars142.xml,178,273,124,144
./Dados/annotations\Cars143.xml,93,130,196,207
./Dados/annotations\Cars144.xml,101,215,114,154
./Dados/annotations\Cars145.xml,282,422,236,283
./Dados/annotations\Cars146.xml,143,170,263,271
./Dados/annotations\Cars147.xml,226,420,125,169
./Dados/annotations\Cars148.xml,135,218,134,158
./Dados/annotations\Cars149.xml,212,245,182,203
./Dados/annotations\Cars15.xml,310,372,146,171
./Dados/annotations\Cars150.xml,122,262,198,232
./Dados/annotations\Cars151.xml,54,120,135,178
./Dados/annotations\Cars152.xml,92,199,258,284
./Dados/annotations\Cars153.xml,146,311,118,170
./Dados/annotations\Cars154.xml,70,264,197,265
./Dados/annotations\Cars155.xml,150,203,177,190
./Dados/annotations\Cars156.xml,114,230,78,102
./Dados/annotations\Cars157.xml,330,366,152,179
./Dados/annotations\Cars158.xml,97,296,118,210
./Dados/annotations\Cars159.xml,149,261,184,211
./Dados/annotations\Cars16.xml,36,62,175,186
./Dados/annotations\Cars160.xml,209,281,137,174
./Dados/annotations\Cars161.xml,312,406,283,311
./Dados/annotations\Cars162.xml,201,268,168,213
./Dados/annotations\Cars163.xml,220,360,173,200
./Dados/annotations\Cars164.xml,160,239,144,183
./Dados/annotations\Cars165.xml,209,293,217,254
./Dados/annotations\Cars166.xml,148,201,123,150
./Dados/annotations\Cars167.xml,176,327,254,285
./Dados/annotations\Cars168.xml,82,137,95,125
./Dados/annotations\Cars169.xml,114,229,79,101
./Dados/annotations\Cars17.xml,306,351,188,205
./Dados/annotations\Cars170.xml,318,346,190,224
./Dados/annotations\Cars171.xml,192,242,146,167
./Dados/annotations\Cars172.xml,173,301,209,239
./Dados/annotations\Cars173.xml,170,252,118,163
./Dados/annotations\Cars174.xml,283,306,159,168
./Dados/annotations\Cars175.xml,295,456,237,367
./Dados/annotations\Cars176.xml,72,308,67,185
./Dados/annotations\Cars177.xml,149,272,166,193
./Dados/annotations\Cars178.xml,126,173,180,205
./Dados/annotations\Cars179.xml,72,132,160,197
./Dados/annotations\Cars18.xml,313,405,286,311
./Dados/annotations\Cars180.xml,151,304,115,187
./Dados/annotations\Cars181.xml,69,128,195,209
./Dados/annotations\Cars182.xml,168,247,139,159
./Dados/annotations\Cars183.xml,97,234,138,170
./Dados/annotations\Cars184.xml,163,212,146,159
./Dados/annotations\Cars185.xml,154,293,147,194
./Dados/annotations\Cars186.xml,175,242,152,175
./Dados/annotations\Cars187.xml,96,287,116,155
./Dados/annotations\Cars188.xml,32,43,184,193
./Dados/annotations\Cars189.xml,285,423,241,286
./Dados/annotations\Cars19.xml,148,221,195,232
./Dados/annotations\Cars190.xml,149,245,210,235
./Dados/annotations\Cars191.xml,96,199,189,217
./Dados/annotations\Cars192.xml,108,211,150,173
./Dados/annotations\Cars193.xml,306,344,193,214
./Dados/annotations\Cars194.xml,267,316,170,183
./Dados/annotations\Cars195.xml,450,526,223,244
./Dados/annotations\Cars196.xml,105,130,128,140
./Dados/annotations\Cars197.xml,222,359,176,201
./Dados/annotations\Cars198.xml,166,273,225,246
./Dados/annotations\Cars199.xml,59,310,88,158
./Dados/annotations\Cars2.xml,229,270,176,193
./Dados/annotations\Cars20.xml,18,48,135,152
./Dados/annotations\Cars200.xml,95,195,189,217
./Dados/annotations\Cars201.xml,216,367,171,208
./Dados/annotations\Cars202.xml,197,249,135,159
./Dados/annotations\Cars203.xml,116,271,112,165
./Dados/annotations\Cars204.xml,193,279,145,187
./Dados/annotations\Cars205.xml,156,221,162,199
./Dados/annotations\Cars206.xml,95,164,185,206
./Dados/annotations\Cars207.xml,254,372,229,264
./Dados/annotations\Cars208.xml,142,232,123,169
./Dados/annotations\Cars209.xml,359,387,172,186
./Dados/annotations\Cars21.xml,191,255,165,192
./Dados/annotations\Cars210.xml,54,315,90,159
./Dados/annotations\Cars211.xml,28,387,64,235
./Dados/annotations\Cars212.xml,105,290,94,141
./Dados/annotations\Cars213.xml,150,233,160,194
./Dados/annotations\Cars214.xml,188,214,121,134
./Dados/annotations\Cars215.xml,92,162,105,123
./Dados/annotations\Cars216.xml,205,280,214,262
./Dados/annotations\Cars217.xml,149,223,196,231
./Dados/annotations\Cars218.xml,0,27,166,188
./Dados/annotations\Cars219.xml,127,462,172,236
./Dados/annotations\Cars22.xml,207,260,104,116
./Dados/annotations\Cars220.xml,142,188,168,182
./Dados/annotations\Cars221.xml,102,125,122,135
./Dados/annotations\Cars222.xml,178,235,158,170
./Dados/annotations\Cars223.xml,347,407,231,249
./Dados/annotations\Cars224.xml,181,243,250,275
./Dados/annotations\Cars225.xml,189,384,161,215
./Dados/annotations\Cars226.xml,249,318,194,213
./Dados/annotations\Cars227.xml,118,153,199,211
./Dados/annotations\Cars228.xml,86,113,127,143
./Dados/annotations\Cars229.xml,253,284,163,177
./Dados/annotations\Cars23.xml,143,213,172,211
./Dados/annotations\Cars230.xml,222,361,173,202
./Dados/annotations\Cars231.xml,64,133,160,180
./Dados/annotations\Cars232.xml,175,228,174,201
./Dados/annotations\Cars233.xml,189,259,55,78
./Dados/annotations\Cars234.xml,160,246,149,171
./Dados/annotations\Cars235.xml,152,247,145,167
./Dados/annotations\Cars236.xml,223,250,106,119
./Dados/annotations\Cars237.xml,118,154,148,169
./Dados/annotations\Cars238.xml,276,396,186,273
./Dados/annotations\Cars239.xml,176,326,254,284
./Dados/annotations\Cars24.xml,167,240,202,221
./Dados/annotations\Cars240.xml,171,232,116,132
./Dados/annotations\Cars241.xml,126,241,142,199
./Dados/annotations\Cars242.xml,224,277,170,199
./Dados/annotations\Cars243.xml,129,465,174,235
./Dados/annotations\Cars244.xml,20,360,87,155
./Dados/annotations\Cars245.xml,91,164,110,138
./Dados/annotations\Cars246.xml,49,112,163,193
./Dados/annotations\Cars247.xml,147,300,11,149
./Dados/annotations\Cars248.xml,184,311,143,191
./Dados/annotations\Cars249.xml,118,149,91,99
./Dados/annotations\Cars25.xml,177,216,139,159
./Dados/annotations\Cars250.xml,132,261,123,160
./Dados/annotations\Cars251.xml,136,210,134,153
./Dados/annotations\Cars252.xml,174,314,237,274
./Dados/annotations\Cars253.xml,25,64,124,137
./Dados/annotations\Cars254.xml,166,235,175,207
./Dados/annotations\Cars255.xml,116,273,156,188
./Dados/annotations\Cars256.xml,286,400,175,212
./Dados/annotations\Cars257.xml,167,241,132,166
./Dados/annotations\Cars258.xml,158,230,184,232
./Dados/annotations\Cars259.xml,324,475,166,205
./Dados/annotations\Cars26.xml,258,321,184,213
./Dados/annotations\Cars260.xml,170,232,112,129
./Dados/annotations\Cars261.xml,1,464,74,154
./Dados/annotations\Cars262.xml,243,285,184,205
./Dados/annotations\Cars263.xml,129,232,260,290
./Dados/annotations\Cars264.xml,222,295,300,337
./Dados/annotations\Cars265.xml,87,216,166,212
./Dados/annotations\Cars266.xml,11,88,57,76
./Dados/annotations\Cars267.xml,274,343,118,138
./Dados/annotations\Cars268.xml,213,271,133,168
./Dados/annotations\Cars269.xml,110,147,199,217
./Dados/annotations\Cars27.xml,148,245,127,159
./Dados/annotations\Cars270.xml,75,125,173,195
./Dados/annotations\Cars271.xml,262,318,141,160
./Dados/annotations\Cars272.xml,170,316,81,121
./Dados/annotations\Cars273.xml,74,264,132,173
./Dados/annotations\Cars274.xml,196,253,149,169
./Dados/annotations\Cars275.xml,99,162,150,167
./Dados/annotations\Cars276.xml,115,276,116,156
./Dados/annotations\Cars277.xml,48,72,218,225
./Dados/annotations\Cars278.xml,278,315,138,163
./Dados/annotations\Cars279.xml,42,202,131,243
./Dados/annotations\Cars28.xml,541,598,366,384
./Dados/annotations\Cars280.xml,191,213,185,195
./Dados/annotations\Cars281.xml,151,243,169,183
./Dados/annotations\Cars282.xml,37,319,145,203
./Dados/annotations\Cars283.xml,51,79,189,201
./Dados/annotations\Cars284.xml,70,260,199,271
./Dados/annotations\Cars285.xml,91,163,111,134
./Dados/annotations\Cars286.xml,201,288,191,230
./Dados/annotations\Cars287.xml,148,262,180,213
./Dados/annotations\Cars288.xml,97,164,148,169
./Dados/annotations\Cars289.xml,163,271,140,173
./Dados/annotations\Cars29.xml,143,211,171,208
./Dados/annotations\Cars290.xml,224,271,84,118
./Dados/annotations\Cars291.xml,71,215,205,246
./Dados/annotations\Cars292.xml,91,137,187,208
./Dados/annotations\Cars293.xml,64,130,160,181
./Dados/annotations\Cars294.xml,142,218,117,135
./Dados/annotations\Cars295.xml,52,73,170,182
./Dados/annotations\Cars296.xml,163,234,158,196
./Dados/annotations\Cars297.xml,158,247,149,170
./Dados/annotations\Cars298.xml,166,233,148,184
./Dados/annotations\Cars299.xml,101,270,136,176
./Dados/annotations\Cars3.xml,142,261,128,157
./Dados/annotations\Cars30.xml,155,200,169,182
./Dados/annotations\Cars300.xml,259,317,185,215
./Dados/annotations\Cars301.xml,205,303,107,135
./Dados/annotations\Cars302.xml,222,425,98,149
./Dados/annotations\Cars303.xml,150,247,211,237
./Dados/annotations\Cars304.xml,143,222,114,156
./Dados/annotations\Cars305.xml,361,434,167,183
./Dados/annotations\Cars306.xml,139,249,282,310
./Dados/annotations\Cars307.xml,172,437,163,220
./Dados/annotations\Cars308.xml,159,237,221,241
./Dados/annotations\Cars309.xml,152,252,122,207
./Dados/annotations\Cars31.xml,286,400,173,211
./Dados/annotations\Cars310.xml,241,348,369,417
./Dados/annotations\Cars311.xml,295,355,166,185
./Dados/annotations\Cars312.xml,111,518,66,246
./Dados/annotations\Cars313.xml,176,252,211,246
./Dados/annotations\Cars314.xml,195,274,149,209
./Dados/annotations\Cars315.xml,12,385,98,181
./Dados/annotations\Cars316.xml,377,476,405,439
./Dados/annotations\Cars317.xml,164,240,202,220
./Dados/annotations\Cars318.xml,119,263,117,160
./Dados/annotations\Cars319.xml,167,232,228,259
./Dados/annotations\Cars32.xml,200,251,149,167
./Dados/annotations\Cars320.xml,99,257,225,266
./Dados/annotations\Cars321.xml,134,169,235,246
./Dados/annotations\Cars322.xml,274,350,257,297
./Dados/annotations\Cars323.xml,123,279,28,65
./Dados/annotations\Cars324.xml,151,255,138,159
./Dados/annotations\Cars325.xml,230,262,180,196
./Dados/annotations\Cars326.xml,141,252,198,230
./Dados/annotations\Cars327.xml,138,262,126,155
./Dados/annotations\Cars328.xml,156,248,149,170
./Dados/annotations\Cars329.xml,166,224,142,176
./Dados/annotations\Cars33.xml,94,306,56,169
./Dados/annotations\Cars330.xml,29,57,192,203
./Dados/annotations\Cars331.xml,164,235,220,240
./Dados/annotations\Cars332.xml,143,260,126,159
./Dados/annotations\Cars333.xml,117,270,157,191
./Dados/annotations\Cars334.xml,155,211,146,162
./Dados/annotations\Cars335.xml,156,221,163,198
./Dados/annotations\Cars336.xml,122,265,195,234
./Dados/annotations\Cars337.xml,119,136,131,154
./Dados/annotations\Cars338.xml,297,316,193,205
./Dados/annotations\Cars339.xml,209,283,135,169
./Dados/annotations\Cars34.xml,147,260,181,206
./Dados/annotations\Cars340.xml,270,321,126,143
./Dados/annotations\Cars341.xml,47,115,161,192
./Dados/annotations\Cars342.xml,196,253,148,169
./Dados/annotations\Cars343.xml,110,162,186,209
./Dados/annotations\Cars344.xml,240,379,158,217
./Dados/annotations\Cars345.xml,173,247,143,182
./Dados/annotations\Cars346.xml,91,197,185,217
./Dados/annotations\Cars347.xml,227,252,124,135
./Dados/annotations\Cars348.xml,156,250,121,204
./Dados/annotations\Cars349.xml,38,146,225,249
./Dados/annotations\Cars35.xml,91,137,186,208
./Dados/annotations\Cars350.xml,162,211,179,188
./Dados/annotations\Cars351.xml,249,368,48,129
./Dados/annotations\Cars352.xml,201,217,185,195
./Dados/annotations\Cars353.xml,93,201,189,221
./Dados/annotations\Cars354.xml,65,102,202,222
./Dados/annotations\Cars355.xml,164,239,154,190
./Dados/annotations\Cars356.xml,241,364,216,275
./Dados/annotations\Cars357.xml,92,137,187,207
./Dados/annotations\Cars358.xml,44,107,94,107
./Dados/annotations\Cars359.xml,228,266,228,240
./Dados/annotations\Cars36.xml,203,285,193,229
./Dados/annotations\Cars360.xml,52,94,167,200
./Dados/annotations\Cars361.xml,148,305,113,178
./Dados/annotations\Cars362.xml,139,162,172,179
./Dados/annotations\Cars363.xml,153,254,169,204
./Dados/annotations\Cars364.xml,61,115,140,167
./Dados/annotations\Cars365.xml,293,373,205,226
./Dados/annotations\Cars366.xml,144,316,112,160
./Dados/annotations\Cars367.xml,224,382,161,222
./Dados/annotations\Cars368.xml,173,223,173,203
./Dados/annotations\Cars369.xml,176,325,253,280
./Dados/annotations\Cars37.xml,146,246,114,163
./Dados/annotations\Cars370.xml,285,425,249,276
./Dados/annotations\Cars371.xml,313,371,135,150
./Dados/annotations\Cars372.xml,221,353,275,309
./Dados/annotations\Cars373.xml,161,264,132,157
./Dados/annotations\Cars374.xml,354,441,118,142
./Dados/annotations\Cars375.xml,144,300,114,145
./Dados/annotations\Cars376.xml,159,252,178,203
./Dados/annotations\Cars377.xml,177,216,138,161
./Dados/annotations\Cars378.xml,118,254,92,137
./Dados/annotations\Cars379.xml,197,351,197,245
./Dados/annotations\Cars38.xml,168,240,196,231
./Dados/annotations\Cars380.xml,316,364,91,126
./Dados/annotations\Cars381.xml,65,147,131,155
./Dados/annotations\Cars382.xml,149,285,206,240
./Dados/annotations\Cars383.xml,54,88,216,228
./Dados/annotations\Cars384.xml,219,271,194,230
./Dados/annotations\Cars385.xml,69,310,75,191
./Dados/annotations\Cars386.xml,83,221,307,368
./Dados/annotations\Cars387.xml,163,256,187,225
./Dados/annotations\Cars388.xml,149,255,130,158
./Dados/annotations\Cars389.xml,77,222,305,370
./Dados/annotations\Cars39.xml,225,328,180,213
./Dados/annotations\Cars390.xml,360,397,118,136
./Dados/annotations\Cars391.xml,270,320,163,190
./Dados/annotations\Cars392.xml,144,260,150,209
./Dados/annotations\Cars393.xml,94,211,171,208
./Dados/annotations\Cars394.xml,291,410,167,190
./Dados/annotations\Cars395.xml,241,288,182,205
./Dados/annotations\Cars396.xml,181,269,264,289
./Dados/annotations\Cars397.xml,144,216,169,212
./Dados/annotations\Cars398.xml,72,196,139,222
./Dados/annotations\Cars399.xml,106,309,62,161
./Dados/annotations\Cars4.xml,156,503,82,253
./Dados/annotations\Cars40.xml,261,317,186,211
./Dados/annotations\Cars400.xml,303,340,191,217
./Dados/annotations\Cars401.xml,158,238,223,240
./Dados/annotations\Cars402.xml,360,438,165,181
./Dados/annotations\Cars403.xml,296,332,189,209
./Dados/annotations\Cars404.xml,162,235,208,244
./Dados/annotations\Cars405.xml,241,299,207,232
./Dados/annotations\Cars406.xml,285,374,185,226
./Dados/annotations\Cars407.xml,311,346,183,202
./Dados/annotations\Cars408.xml,160,187,217,228
./Dados/annotations\Cars409.xml,116,203,146,168
./Dados/annotations\Cars41.xml,109,159,182,206
./Dados/annotations\Cars410.xml,51,219,150,212
./Dados/annotations\Cars411.xml,160,249,153,197
./Dados/annotations\Cars412.xml,221,362,172,202
./Dados/annotations\Cars413.xml,237,271,143,162
./Dados/annotations\Cars414.xml,269,309,206,228
./Dados/annotations\Cars415.xml,133,261,157,192
./Dados/annotations\Cars416.xml,150,234,207,221
./Dados/annotations\Cars417.xml,90,273,145,196
./Dados/annotations\Cars418.xml,99,303,70,155
./Dados/annotations\Cars419.xml,195,349,196,242
./Dados/annotations\Cars42.xml,177,217,140,159
./Dados/annotations\Cars420.xml,112,160,186,211
./Dados/annotations\Cars421.xml,95,127,162,183
./Dados/annotations\Cars422.xml,159,296,126,182
./Dados/annotations\Cars423.xml,162,283,159,183
./Dados/annotations\Cars424.xml,128,461,173,242
./Dados/annotations\Cars425.xml,211,301,103,132
./Dados/annotations\Cars426.xml,148,282,206,238
./Dados/annotations\Cars427.xml,236,375,193,228
./Dados/annotations\Cars428.xml,142,258,128,157
./Dados/annotations\Cars429.xml,86,208,166,195
./Dados/annotations\Cars43.xml,142,319,111,161
./Dados/annotations\Cars430.xml,38,116,159,197
./Dados/annotations\Cars431.xml,55,343,82,147
./Dados/annotations\Cars432.xml,95,196,258,284
./Dados/annotations\Cars44.xml,18,430,153,271
./Dados/annotations\Cars45.xml,204,280,103,175
./Dados/annotations\Cars46.xml,189,352,193,248
./Dados/annotations\Cars47.xml,6,48,143,161
./Dados/annotations\Cars48.xml,95,286,117,155
./Dados/annotations\Cars49.xml,268,314,171,190
./Dados/annotations\Cars5.xml,226,242,218,240
./Dados/annotations\Cars50.xml,116,525,55,262
./Dados/annotations\Cars51.xml,264,318,141,162
./Dados/annotations\Cars52.xml,226,327,181,210
./Dados/annotations\Cars53.xml,146,260,187,213
./Dados/annotations\Cars54.xml,148,257,61,118
./Dados/annotations\Cars55.xml,143,210,171,208
./Dados/annotations\Cars56.xml,87,339,82,146
./Dados/annotations\Cars57.xml,270,321,162,195
./Dados/annotations\Cars58.xml,154,241,166,187
./Dados/annotations\Cars59.xml,324,375,162,175
./Dados/annotations\Cars6.xml,112,373,114,239
./Dados/annotations\Cars60.xml,45,364,98,159
./Dados/annotations\Cars61.xml,71,198,124,231
./Dados/annotations\Cars62.xml,156,243,110,159
./Dados/annotations\Cars63.xml,54,91,201,226
./Dados/annotations\Cars64.xml,120,325,187,220
./Dados/annotations\Cars65.xml,207,300,200,260
./Dados/annotations\Cars66.xml,144,211,170,202
./Dados/annotations\Cars67.xml,189,328,223,248
./Dados/annotations\Cars68.xml,189,245,142,171
./Dados/annotations\Cars69.xml,77,124,150,175
./Dados/annotations\Cars7.xml,166,206,141,154
./Dados/annotations\Cars70.xml,179,213,115,133
./Dados/annotations\Cars71.xml,254,284,144,152
./Dados/annotations\Cars72.xml,156,255,182,208
./Dados/annotations\Cars73.xml,119,283,22,69
./Dados/annotations\Cars74.xml,115,277,115,153
./Dados/annotations\Cars75.xml,209,218,196,201
./Dados/annotations\Cars76.xml,6,470,114,233
./Dados/annotations\Cars77.xml,229,309,151,178
./Dados/annotations\Cars78.xml,149,249,210,239
./Dados/annotations\Cars79.xml,238,350,363,422
./Dados/annotations\Cars8.xml,204,304,104,134
./Dados/annotations\Cars80.xml,94,279,148,186
./Dados/annotations\Cars81.xml,297,327,100,125
./Dados/annotations\Cars82.xml,190,257,59,77
./Dados/annotations\Cars83.xml,251,326,295,341
./Dados/annotations\Cars84.xml,167,238,201,220
./Dados/annotations\Cars85.xml,86,146,218,235
./Dados/annotations\Cars86.xml,332,447,176,204
./Dados/annotations\Cars87.xml,3,45,205,220
./Dados/annotations\Cars88.xml,168,242,148,171
./Dados/annotations\Cars89.xml,307,345,206,221
./Dados/annotations\Cars9.xml,164,272,224,247
./Dados/annotations\Cars90.xml,77,101,204,225
./Dados/annotations\Cars91.xml,269,317,170,189
./Dados/annotations\Cars92.xml,281,393,185,271
./Dados/annotations\Cars93.xml,347,367,122,132
./Dados/annotations\Cars94.xml,176,251,210,248
./Dados/annotations\Cars95.xml,278,407,182,263
./Dados/annotations\Cars96.xml,133,261,126,160
./Dados/annotations\Cars97.xml,98,297,102,191
./Dados/annotations\Cars98.xml,85,247,196,259
./Dados/annotations\Cars99.xml,70,262,198,271
